"Date","Action","Symbol","Quantity","Price","Fees & Comm"
"04/15/2026","MoneyLink Transfer","","","",""
"04/14/2026","Sell","INTC","1.0848","$63.3573",""
"04/14/2026","Sell","CRWD","1","$403.205","$0.01"
"04/14/2026","Sell","SNOW","1","$136.54",""
"04/14/2026","Sell","URA","3","$52.7617",""
"04/14/2026","Sell","QQQ","1.0227","$623.35","$0.01"
"04/14/2026","Sell","HIMS","5","$21.37",""
"03/27/2026","Reinvest Shares","BAC","0.0138","$47.6578",""
"03/27/2026","Reinvest Shares","QQQ","0.0009","$566.7997",""
"03/27/2026","Reinvest Dividend","QQQ","","",""
"03/27/2026","NRA Tax Adj","QQQ","","",""
"03/27/2026","NRA Tax Adj","BAC","","",""
"03/27/2026","Qual Div Reinvest","BAC","","",""
"03/12/2026","Reinvest Shares","MSFT","0.0016","$403.5578",""
"03/12/2026","NRA Tax Adj","MSFT","","",""
"03/12/2026","Qual Div Reinvest","MSFT","","",""
"02/12/2026","Reinvest Shares","AAPL","0.0041","$270.3614",""
"02/12/2026","Qual Div Reinvest","AAPL","","",""
"02/12/2026","NRA Tax Adj","AAPL","","",""
"02/09/2026","Sell","HIMS","7","$17.8902",""
"02/04/2026","Sell","PYPL","11.0162","$41.3001",""
"02/02/2026","Reinvest Shares","JPM","0.0073","$308.5782",""
"02/02/2026 as of 01/31/2026","NRA Tax Adj","JPM","","",""
"02/02/2026 as of 01/31/2026","Qual Div Reinvest","JPM","","",""
"01/29/2026","Reinvest Shares","MRVL","0.0021","$80.7905",""
"01/29/2026","NRA Tax Adj","MRVL","","",""
"01/29/2026","Qual Div Reinvest","MRVL","","",""
"01/28/2026","Buy","AMD","1","$252.80",""
"01/26/2026","Reinvest Shares","GE","0.0043","$290.9595",""
"01/26/2026","Sell","BOXX","1","$115.4403",""
"01/26/2026","Sell","AAPL","1","$253.87",""
"01/26/2026","NRA Tax Adj","GE","","",""
"01/26/2026","Qual Div Reinvest","GE","","",""
"01/21/2026","MoneyLink Transfer","","","",""
"01/07/2026","Pr Yr NRA Tax","URA","","",""
"01/07/2026","Pr Yr Cash Div","URA","","",""
"01/06/2026","Buy","PYPL","1","$59.00",""
"12/31/2025","Reinvest Shares","QQQ","0.0009","$617.5968",""
"12/31/2025","Reinvest Dividend","QQQ","","",""
"12/31/2025","NRA Tax Adj","QQQ","","",""
"12/29/2025","Reinvest Shares","ARKF","0.0037","$48.6474",""
"12/29/2025","Reinvest Dividend","ARKF","","",""
"12/29/2025","NRA Tax Adj","ARKF","","",""
"12/26/2025","Reinvest Shares","BAC","0.0116","$56.2489",""
"12/26/2025","NRA Tax Adj","BAC","","",""
"12/26/2025","Qual Div Reinvest","BAC","","",""
"12/22/2025","MoneyLink Transfer","","","",""
"12/15/2025","Sell","BOXX","5","$114.8044",""
"12/11/2025","Reinvest Shares","MSFT","0.0013","$480.5094",""
"12/11/2025","NRA Tax Adj","MSFT","","",""
"12/11/2025","Qual Div Reinvest","MSFT","","",""
"12/10/2025","Reinvest Shares","PYPL","0.0162","$60.5717",""
"12/10/2025","Qual Div Reinvest","PYPL","","",""
"12/10/2025","NRA Tax Adj","PYPL","","",""
"12/10/2025","Buy","HIMS","2","$38.00",""
"11/28/2025","MoneyLink Transfer","","","",""
"11/13/2025","Reinvest Shares","AAPL","0.0047","$273.065",""
"11/13/2025","Qual Div Reinvest","AAPL","","",""
"11/13/2025","NRA Tax Adj","AAPL","","",""
"11/12/2025","Buy","URA","1","$47.40",""
"11/12/2025","Buy","HIMS","2","$39.40",""
"11/07/2025","Sell","OKLO","1","$100.50",""
"11/07/2025","Wire Received","","","",""
"11/07/2025","MoneyLink Transfer","","","",""
"11/04/2025","Sell","BOXX","3","$114.25",""
"11/04/2025","Sell","TEM","1","$87.785",""
"11/04/2025","Buy","GE","1","$306.80",""
"11/04/2025","Buy","URA","1","$51.15",""
"11/03/2025","Buy","URA","1","$52.9027",""
"10/31/2025","Reinvest Shares","JPM","0.0072","$312.0035",""
"10/31/2025","Reinvest Shares","QQQ","0.0008","$631.7691",""
"10/31/2025","NRA Tax Adj","JPM","","",""
"10/31/2025","Qual Div Reinvest","JPM","","",""
"10/31/2025","Reinvest Dividend","QQQ","","",""
"10/31/2025","NRA Tax Adj","QQQ","","",""
"10/30/2025","Reinvest Shares","MRVL","0.0019","$90.1999",""
"10/30/2025","NRA Tax Adj","MRVL","","",""
"10/30/2025","Qual Div Reinvest","MRVL","","",""
"10/27/2025","Reinvest Shares","GE","0.0033","$310.0046",""
"10/27/2025","NRA Tax Adj","GE","","",""
"10/27/2025","Qual Div Reinvest","GE","","",""
"10/23/2025","MoneyLink Transfer","","","",""
"10/22/2025","Buy","HIMS","2","$47.00",""
